# Engine-provided script globals, derived from the game's own Lua bytecode
# scripts scanned: 552   globals SET by scripts: 554
# A global listed here is indexed as a table by some script but is never SETGLOBAL'd by
# ANY script -> the engine must provide it. 'catalog' = how many of its method names the
# Ghidra native catalog also knows as bound natives (independent EXE-side evidence).
#
# status	class	methods_used	catalog_hits	sample_methods
ACCEPT	AppearanceModifierManager	17	17	AddAndReplaceItem,AddAndReplaceItemOfRecordID,AddAndReplaceItemOfType,AddInitialItems,GetAllClothingItems,GetAllWornItems,GetAllWornItemsOfCategory,IsAvailable
ACCEPT	Block	17	17	ClearBlocking,CompletedBlock,GetBlockType,GetBlockingIdleTime,GetLastCompletedBlockTime,GetLastCompletedBlockType,GetNumHitsExcludingTypeInTime,GetNumHitsOfAnyTypeInTime
ACCEPT	Door	17	17	CanCurrentlyBeClosedBySim,DisplayLockedMessage,GetECType,IsAvailable,IsKnockable,IsLocked,IsLockedForPlayer,IsOpen
ACCEPT	Health	17	17	CantDie,DoneDebugDraw,Get,GetBase,GetDeltaSinceLastDebugDraw,GetFrameLastChanged,GetMax,IsAvailable
ACCEPT	NPCRewardGiver	17	16	AddDiscountReward,AddGiftReward,AddQuestReward,GetRequirementsText,GetRewardHint,GivePlayerReward,GiveQuestReward,HasAnyRewardsLeft
ACCEPT	Action	16	16	AttemptComboBreak,BreakSequence,FinishAllActions,FinishScriptedActions,GetCurrentAnimName,GetDummyObjectUsedInStrike,GetECType,GetPriorityOfCurrentAction
reject	BehaviourShard	16	0	BeamCosmeticRotateSpeed,BeamDamagePerSecond,BeamDuration,BeamLookAhead,BeamSpeed,DistanceCapForSpeed,IdealBeamAttackRange,MaxBeamAttackRange
ACCEPT	Targeting	16	16	CheckForBetterTargetInDirection,ClearLookAtAlert,ClearPointOfInterestTarget,GetCameraSafeTargetedPosition,GetInAiming,GetPointOfInterestData,GetPointOfInterestTarget,GetTarget
reject	BehaviourInChaos	14	0	AnimInfoBalverine,AnimInfoHighwayMan,AnimInfoHobbe,AnimInfoHobbeStilts,AnimInfoHollowman,AnimInfoHuman,AnimInfoLucienSoldier,AnimInfoNumItemsBalverine
ACCEPT	FastTravel	13	13	GetAllValidRegionDisplayTextTagsForCoach,GetAllValidRegionDisplayTextTagsForShip,GetAllValidRegionNameTagsForCoach,GetAllValidRegionNameTagsForShip,GetCoachStopForRegion,GetShipStopForRegion,IsStopActive,SetAsEnabled
known	Physics	13	13	GetFacingVector,GetRadius,GetVelocity,IsAvailable,IsSliding,ResetFacingVector,SetCanBePushedByPlayer,SetCanCollideWithEntity
ACCEPT	Troll	13	13	GetCurrentHealth,GetLastHitTime,GetNumberOfWeakPoints,GetOffsetForPoundAttack,GetOriginalHealth,GetPosInModelSpace,GetTrollStatus,IsAvailable
reject	DummyObjects	12	0	ACTION_GENERIC,ACTION_KNOCK,CHEST,COMBAT_MOUTH,HAND_LEFT,HAND_RIGHT,LEFT_RIGHT,PROP_POINT
ACCEPT	Chest	11	11	GetECType,GetNumberOfSilverKeysNeeded,IsAvailable,IsLocked,IsOpen,IsToDisplayLockedMessage,Lock,Open
ACCEPT	Perception	11	11	CanDirectlySee,CanHear,GetAttentionSpan,GetECType,GetNearestThreatForFlee,GetPerceptionDistance,IsAvailable,IsAwareOf
ACCEPT	Transient	11	11	CanLeaveRegion,GetECType,GetPreferredExit,IsAvailable,IsTimeToLeave,IsToUseSpecificExit,SetAsAssassinationTarget,SetCanLeaveRegion
ACCEPT	Trigger	11	11	AreAllTriggerEntitiesInsideTriggerVolume,GetBoundingRadius,GetNumberOfCreaturesOfTypeInsideTriggerVolume,IsAnyTriggerEntityInsideTriggerVolume,IsAvailable,IsSpecificEntityInsideTriggerVolume,IsSpecificTriggerEntityInsideTriggerVolume,IsTriggerEntityInsideTriggerVolume
ACCEPT	Banshee	10	10	GetBansheeTarget,GetDestination,GetMyWisp,IsAvailable,IsFading,SetSidewaysMode,SetSpeed,SetTargetEntity
ACCEPT	Brain	10	10	BrainNeedsChanged,DoScheduledBrainSwap,GetBehaviourGroups,GetFindBestBehaviourZoneOverride,GetNextBehaviourGroupIndex,GetNextBehaviourIndex,GetUpdateZoneOverride,ReplaceBrainWithDebugBrain
ACCEPT	CombatTalk	10	10	AddOverride,AreAnyCombatCommentsPlaying,ClearOverrides,IsAvailable,OverrideTimeBetweenComments,SetCanCombatTalk,SetCanRepeatLines,SetCanTalkOverOthers
reject	EntityModeSwimming	10	0	MaxControllerDamping,MinControllerDamping,PoseDelta,RunMax,RunMin,UseTurnAnimations,WalkCenter,WalkMax
ACCEPT	Experience	10	10	DoEfficiencyTopBox,Drain,EffeciencyScoreAvailable,Get,GetEffeciencyScore,GetTotalEarned,IsAvailable,Modify
ACCEPT	LevelExit	10	10	GetECType,GetRadius,Interact,IsActivatedOnInteraction,IsActive,IsAvailable,IsConnectedToCurrentLevel,SetAsActive
known	MessageEvents	10	10	GetActivatedEntityMessages,GetAllMessages,GetDestroyedMessageFromEntity,GetMostRecentMessageID,IsMessagePosted,IsMessageSentBy,IsMessageSentTo,LoadMessage
known	TutorialManager	10	10	CompleteTutorial,DisplayTutorial,HasDisplayedTutorial,ResetTutorial,SetToPlayAbilityScreenTutorials,SetToPlayMapScreenTutorials,SetToPlayNewExpressionLearnedTutorials,SetTutorialAsHighPriority
ACCEPT	WeaponSetManager	10	10	AddVigilanteWeapon,CreateSheathedWeapons,EquipWeapon,EquipWeaponOfType,HasMeleeWeapon,HasRangedWeapon,IsArmed,IsAvailable
reject	CombatGroupMind	9	3	AddEntity,AddTarget,ChooseLeader,CreateSubClass,New,RemoveEntity,States,TargetPersistanceTimer
reject	ConversationGroupMind	9	0	CreateSubClass,DIST_TO_TALK,DrawDebug,GOSSIP,GetMetricForComparison,SnapCameraBack,States,TrackedConversation
reject	ExperienceOrb	9	4	ClearOverriddenSucker,GetECType,GetExperienceOnCurrentLevel,GetNumberOfOrbsOnCurrentLevel,GetSuckMode,SetAsEnabled,SetBaseExperience,SetOverriddenSucker
ACCEPT	Faction	9	9	AddTemporaryEntityRelationship,GetCurrentFaction,GetECType,IsAvailable,IsMyAlly,IsMyEnemy,RemoveTemporaryEntityRelationship,ResetCurrentFaction
ACCEPT	FlitSwitch	9	9	IsFinished,IsMovingToDestination,IsWaitingForHit,SetAsWaitingForHitOfType,SetAsWaitingForMeleeHit,SetAsWaitingForRangedHit,SetAsWaitingForSpellHit,SetDestinationMarker
known	Look	9	9	ClearIdleLooking,DisableLookingWithPriorityLessThan,GetLookAtTarget,HasLookAtTarget,IsAvailable,IsLookingAtTarget,LookAtEntity,LookAtPos
ACCEPT	ModeManager	9	9	AddMode,AddModeByEnum,AddModeByEnumWithAnimGroupName,AddModeWithAnimGroupName,GetMaxMovementMetresPerSecondInDirection,HasMode,IsAvailable,IsInHittableMode
ACCEPT	PlayerProperties	9	9	DoesPlayerOwnAEmptyHouseInThisLevel,GetIsRentalProperty,GetNumberOfPropertiesOwned,GetNumberOfPropertiesOwnedInLevel,GetTextTagForAppropriateHomeForMarriage,IsOwnedByPlayer,PurchaseProperty,PurchasePropertyQuietly
ACCEPT	ScriptControlledTargeting	9	9	Clear,GetAttackData,GetNumberOfHollowMen,GetTargets,HasScriptControlledTarget,IsAvailable,IsReadyForNextAction,SetSpellAttack
ACCEPT	Sound	9	7	IsAvailable,IsSoundCategoryPlaying,PlayEvent,PlayEventAtPitch,PlayEventSerialised,SetPitchForSoundCategory,SetSoundEffectVolume,SetSoundVariableValue
ACCEPT	Targeted	9	9	GetSubTargetIndexByType,IsHenchmanWithinInteractionDistance,IsHeroWithinInteractionDistance,IsSubTargetAvailable,IsTargetLockedByHero,IsTargetable,IsTargetedByHero,SetAsTargetable
reject	BehaviourBase	8	0	AddNavStrafeConstraint,CreateSubClass,FastExit,FollowingSpeedDists,IsCarrying,MoveToPositionNoWait,RemoveNavStrafeConstraint,SlowExit
reject	BehaviourNoticeExpression	8	0	DoDeedReaction,GetActionTable,PickDismissBeggarAnim,PickGiveMoneyToBeggarAnim,PromptPlayer,ReactToExtendedStart,SuitableDismissBeggarAnims,SuitableGiveMoneyToBeggarAnims
reject	InteractiveCutsceneGroupMind	8	0	CrimeDisabledFromScript,DebugDraw,FinishOneCutscene,PauseAnyCrimeAI,RepeatCutscenes,RestartAnyCrimeAI,SceneStates,States
ACCEPT	Shopkeeper	8	8	ApplyPriceMultiplier,GetConversationTopic,GetCustomerThankShopkeeperDialogue,GetECType,GetGreetCustomerDialogue,GetHawkingDialogue,GetServePlayerDialogue,GetThankCustomerDialogue
ACCEPT	SoundTools	8	8	PlayEventOnCamera,PlayEventOnHero,PlayMusic,PlayMusicAndAtmosForLevel,RestartMainMusic,SetMusicAndAtmosToStartOnNextLevelLoad,StopMainMusic,StopMusic
ACCEPT	Talk	8	8	HasVoiceOfType,IsAvailable,IsTalking,SetNarrator,SetToDisplaySubtitles,SetVoiceType,StopTalking,Talk
ACCEPT	WaveMachine	8	8	AdvanceToNextWave,ForceAdvanceToNextWave,GetCurrentWaveNumber,GetTotalNumberOfWaves,IsAvailable,IsCurrentWaveFinished,IsFinished,StartWaves
ACCEPT	Weapon	8	8	GetType,IsAvailable,IsBow,IsCrossbow,IsMeleeWeapon,IsPistol,IsRangedWeapon,IsRifle
ACCEPT	Age	7	7	GetAge,GetAgeGroup,IsAvailable,SetAge,SetAgeGroup,SetAgeLimit,SetAgeWithinAgeGroup
ACCEPT	Beetle	7	5	CancelFaceHug,IsAvailable,IsOnCeiling,PerformLandAction,PerformTakeOffAction,SetNotOnCeiling,SetupFaceHug
reject	BehaviourCommotionBase	7	1	CreateSubClass,FastExit,GetAreaOfEffect,HERO_RANGE,IsStillRunnable,PlayRandomFearAnim,ShouldEntityRespondToCommotion
reject	BehaviourRespondToExtortion	7	1	DismissAnims,DoScaredReaction,FearAnims,GetDismissAnim,GetFearAnim,IsExtortionExpression,Update
ACCEPT	CrateStack	7	7	AddCrate,GetCrate,GetECType,GetNumCrates,IsDestination,IsMember,RemoveCrate
ACCEPT	CrescendoMusic	7	7	SetMusicLevels,StartMusic,StopMusic,TriggerHitBelieve,TriggerLargeHit,TriggerSmallHit,VictoryMusicThenStop
ACCEPT	CutsceneReactions	7	7	GetHitReactionTag,GetPlayerLeavingTag,GetReactionForExpression,GetResumeTag,GetSummaryIntroTag,IsAvailable,SetReactionSet
ACCEPT	DiggingSpot	7	7	GetECType,HasBeenDugByDog,IsActive,IsAvailable,IsDiggableWithoutDog,OnDug,SetAsDiggableWithoutDog
ACCEPT	Firearm	7	7	GetMaxBullets,GetMaxRange,GetNumBullets,HasLineOfSightTo,IsAvailable,OverrideCapacity,ReloadAll
ACCEPT	HeroStatue	7	7	IsAvailable,SculptFromEntity,SculptFromHero,SetFirstExpressionPose,SetPoseFromAnimation,SetPoseFromEntityAnimation,SetPoseFromExpression
ACCEPT	PlayerSpellManager	7	7	GetCurrentChargedSlotIdx,GetCurrentTargetEntity,IsAvailable,IsFullCasting,IsFullCharging,IsTargetedDirCastMode,IsUsingMagic
reject	QuestThreadBase	7	1	MaxStoredEntities,OnChildThreadDeath,OnThreadDeath,StoredEntities,Terminate,_NewQuestType,new
ACCEPT	SpellAffect	7	7	RestoreToDefaults,SetMultiPlayerMaxNumObjectsOnFire,SetMultiPlayerMaxNumVortexDetritusCreation,SetMultiPlayerMaxNumVortexObjects,SetSinglePlayerMaxNumObjectsOnFire,SetSinglePlayerMaxNumVortexDetritusCreation,SetSinglePlayerMaxNumVortexObjects
ACCEPT	Viewpoint	7	7	GetRandomAnim,GetTextTag,IsToDoBothAtSameTime,IsToPlayAnim,IsToPlayAnimFirst,IsToSayLine,IsToSayLineFirst
ACCEPT	Bed	6	6	GetECType,GetSleepType,IsAvailable,SetOccupied,SetSleepType,WereYouRobbed
reject	BehaviourCombat	6	2	CreateSubClass,FastExit,MoveTo,PrepareToRun,SlowExit,Update
reject	BehaviourDogTrackHeroBase	6	0	CheckMasterStill,CreateSubClass,Initialise,IsStillRunnable,PrepareToRun,SlowExit
reject	BehaviourFireFromCover	6	0	CoverSearchRange,MaxDistanceToEnemyEntry,MaxDistanceToEnemyExit,MinDistanceToEnemy,StateEnum,StrafeDistance
reject	BehaviourReceiveGift	6	0	CanAcceptGift,GetGift,RefusalReasons,RefuseRing,RemoveGiftFromHero,RespondToGift
ACCEPT	BloodAlcohol	6	6	CanVomit,DecreaseAlcoholLevel,IncreaseAlcoholLevel,IsAvailable,IsDrunk,SoberUp
ACCEPT	Breakable	6	6	GetECType,IsAvailable,PreloadPieces,SetBreakOnCollide,SetKillPieces,SetOpenForEntity
ACCEPT	CommunityService	6	6	GetCurrentInfo,GetCurrentStage,GetFines,SetCurrentInfo,SetCurrentStage,SetFines
ACCEPT	FiringPosition	6	6	GetECType,IsAvailable,IsFacingEntity,IsOccupied,IsTurretFiringPosition,SetOccupied
ACCEPT	GossipEC	6	6	AddLabel,CanGossip,GetConversationItem,GetGossipLine,IsAvailable,SetCanGossip
ACCEPT	GuildMessages	6	6	HasGuildMessageBeenDisplayed,IsAvailable,Post,PostWithNarrator,SetMessageDelaySeconds,SetNarratorTag
ACCEPT	Morph	6	6	AddRandomScar,AddScar,IsAvailable,RemoveRandomScar,SetPinkEye,SetWillGlowAlpha
ACCEPT	NavigatorControl	6	6	ClearTurning,IsAvailable,IsFacingTurningDirection,IsUnderExclusiveControl,StepAwayFromPos,TurnToFaceDirection
ACCEPT	ObjectAttachment	6	6	AddEntity,GetEntityAttachedToDummy,IsAvailable,IsEntityAttached,KillAttachedParticlesWithFadeOut,RemoveEntity
ACCEPT	SpikeTrap	6	6	ChangeState,ChangesStateOnTriggering,IsAutoSpiking,IsAvailable,ResetSpikeTiming,SetAsAutoSpiking
ACCEPT	Swimming	6	6	GetDryingOffTime,IsAvailable,IsDryingOff,IsSwimming,IsSwimmingUnderwater,SetDryingOff
ACCEPT	TriggerVolumeExclusionZone	6	6	GetActiveExclusionZones,GetECType,GetRadius,GetZoneName,IsEntityWithinAnActiveExclusionZone,SetActive
reject	BarmanJobGroupMind	5	0	AlcoholTypes,ExitConditions,NUMBER_OF_ANGER_STAGES,NextAlcoholType,States
reject	BehaviourBarmanJobBase	5	0	ActionType,AnimationLookup,AnimationType,CreateSubClass,NeedDrinkDialogue
reject	BehaviourCourtHero	5	0	DoYouWantToCourt,GetSuitableAttractedAnim,MakeSuggestion,NumberAttractedAnims,SuitableAttractedAnims
reject	BehaviourFollow	5	0	Buffer,CreateSubClass,FastExit,IsStillRunnable,SortOutStopFollowing
reject	BehaviourHomeSeatedBase	5	0	CreateSubClass,FastExit,PrepareToRun,SitAnim,StandAnim
ACCEPT	ECGenericTrigger	5	5	GetTriggerEntity,GetTriggerParameter,GetTriggerType,GetTriggeredEntities,IsAvailable
ACCEPT	EnvironmentTheme	5	5	AddCrescendoDeathFlash,AddCrescendoFlash,BlendSpellOverride,BlendToEnvironmentTheme,SetCrescendoLevels
ACCEPT	FarmCrate	5	5	GetBeingUsed,GetCrate,GetECType,GetLocationType,SetBeingUsed
ACCEPT	Gender	5	5	Get,HasHadSexChange,IsAvailable,Set,SetHasHadSexChange
ACCEPT	Kynapse	5	5	CanGoDirectlyBetween,GetNearestNavigablePoint,IsAvailable,IsPointNavigable,SetIsAbstractEntity
known	Layers	5	5	ActivateLayer,ActivateScenario,DeactivateLayer,GetActiveScenarioForLevel,IsLayerActive
ACCEPT	Mood	5	5	FreeMoodState,GetCurrentMoodState,IsAvailable,SetMoodState,UpdateInCombat
ACCEPT	PhysicsCharacter	5	5	GetISAbleToPushCharacters,IsAvailable,SetAsAbleToPushCharacters,SetAsPushableByHero,SetBlended
ACCEPT	AIMovement	4	4	ClearRunAnimationOverride,IsAvailable,SetRunAnimationOverrideName,SetStrafe
ACCEPT	Ambush	4	4	GetECType,HasTriggered,Reset,Trigger
ACCEPT	Animation	4	4	DebugPlaySpecificAnimation,GetPositionAndOrientationForPairedAnimation,IsAvailable,LoadAnimationControlSimple
reject	BehaviourBarBase	4	0	CreateSubClass,FastExit,MaintainedModes,SlowExit
reject	BehaviourBeggarSeatedBase	4	0	CreateSubClass,PrepareToRun,SitAnim,StandAnim
reject	BehaviourCelebrateBase	4	1	CreateSubClass,GetMinDistToHeroDesired,HERO_RANGE,ShouldCelebrate
reject	BehaviourScriptControlFlee	4	0	Anims,CreateSubClass,WhimperAndAnimate,WhimperLines
reject	BehaviourShopBase	4	0	CreateSubClass,FastExit,IsStillRunnable,MaintainedModes
reject	BehaviourVillagerChat	4	0	CreateSubClass,DoDivorceConversation,FastExit,IsThisADivorceConversation
ACCEPT	CameraInterest	4	4	GetRadius,GetRange,IsAvailable,SetRange
ACCEPT	DemonDoor	4	4	DespawnFace,IsFaceOut,Open,SpawnFace
ACCEPT	ElectricArcManager	4	4	CreateNamedElectricArcSource,CreateNamedEntityDummyEndPointsArc,DestroyAllArcsByRefname,DestroyAllElectricArcSourcesByRefname
reject	EntityModeBipedMovement	4	1	OnActivate,OnDeactivate,Update,new
ACCEPT	FlameTrap	4	4	IsAutoBlasting,IsAvailable,ResetBlastTiming,SetAsAutoBlasting
ACCEPT	Hittable	4	4	GetLastEntityThatHitMeWithMagic,Hit,SetEntityAsHittableByEntity,SetEntityAsOnlyHittableByEntity
ACCEPT	Mana	4	4	GetMax,IsAvailable,Modify,SetMax
known	Money	4	4	Get,IsAvailable,Modify,Set
ACCEPT	Multiplayer	4	4	DisplayCoopScreen,IsHenchmanInGhostMode,SetHenchmanGhostMode,SetHenchmanHiddenMode
ACCEPT	OnActionUse	4	4	IsAvailable,IsShowingEye,SetCanDisplayWorldIcons,SetWorldIconTextTag
ACCEPT	OwnerEntity	4	4	GetNumberOfOwnedEntitiesOfType,GetOwnedEntityByIndex,GetOwnedEntityByIndexOfType,IsAvailable
ACCEPT	PlayerControl	4	4	GetLastControlDirection,IsAvailable,SetControlDampingWeight,SetTargetFacingDirection
ACCEPT	PlayerDrunkenness	4	4	Drink,IsAvailable,SetDrunkenness,SoberUp
ACCEPT	PointOfInterest	4	4	GetECType,GetSpeakChancePercentage,GetTextTag,IsPointValidToLookAt
reject	QO470_TOEFavour	4	0	AgeFilter,CurrentScriptCharacterFilter,FamilyFilter,MonkFilter
ACCEPT	ShadowCreature	4	3	GetAlpha,GetECType,IsAvailable,ShadowiseEntity
ACCEPT	Stance	4	4	IsAvailable,IsGoofy,IsUseCombatPose,SetStance
ACCEPT	Vaulting	4	4	GetFramesPushingTowardsValidVault,IsAvailable,SetAsEnabled,SetTutorialAsEnabled
ACCEPT	Workplace	4	4	GetListOfEmployees,GetListOfEmployeesRequired,GetMaxNumberOfPatrons,IsAvailable
ACCEPT	WorldMapInfo	4	4	AddExtraChestCountForRegion,AddExtraChestOpenedInRegion,EnableGargoyles,IncrementGargoylesKilled
ACCEPT	Balverine	3	3	GetLastPerch,IsAvailable,IsPerched
reject	BalverinePerch	3	2	GetECType,GetNavTarget,IsOccupied
reject	BanditCombatGroupMind	3	0	FleeLossPeriod,FleeLossThreshold,ReinforcementThreshold
reject	BehaviourAllyWithLowHealth	3	0	HealthValueToEnterStateAt,PercentHealthToRecoverBeforeExiting,PercentHealthToRecoverPerSecond
reject	BehaviourBarPatronSeatedBase	3	0	CreateSubClass,FastExit,PrepareToRun
reject	BehaviourBarPatronStandingBase	3	0	CreateSubClass,FastExit,PrepareToRun
reject	BehaviourBenchSeatedBase	3	0	CreateSubClass,FastExit,PrepareToRun
reject	BehaviourCampSeatedBase	3	0	CreateSubClass,SitAnim,StandAnim
reject	BehaviourCommotionChatBase	3	0	CreateSubClass,FastExit,IsStillRunnable
reject	BehaviourDogLeadHeroBase	3	0	CreateSubClass,FastExit,GetDestinationTolerance
reject	BehaviourDogLyingDownBase	3	0	CreateSubClass,IsStillRunnable,PrepareToRun
